code,name,theme
009830,한화솔루션,태양광
009830,한화솔루션,신재생에너지
009830,한화솔루션,수소
005930,삼성전자,반도체
005930,삼성전자,AI반도체
000660,SK하이닉스,반도체
000250,삼천당제약,바이오 / 제약
220100,퓨쳐켐,바이오 / 제약
047040,대우건설,건설 / 해외수주
